house,sale_id,lot_id,lot_number,raw_width,raw_height,purpose
leu,75,687268,526,1186,600,leu_ab
leu,75,687287,545,1200,590,leu_ab
leu,75,687305,563,1200,467,leu_ab
leu,75,687324,582,1081,600,leu_ab
leu,75,687343,601,1182,600,leu_ab
leu,75,687362,620,1182,600,leu_ab
leu,75,687380,638,1142,600,leu_ab
leu,75,687399,657,1134,600,leu_ab
leu,75,687418,676,1200,587,leu_ab
leu,75,687437,695,1200,581,leu_ab
leu,75,687455,713,1109,600,leu_ab
leu,75,687474,732,1191,600,leu_ab
leu,75,687493,751,1193,600,leu_ab
leu,75,687512,770,1107,600,leu_ab
leu,75,687530,788,1175,600,leu_ab
leu,75,687549,807,1200,590,leu_ab
leu,75,687568,826,1200,576,leu_ab
leu,75,687587,845,1200,585,leu_ab
leu,75,687605,863,1175,600,leu_ab
leu,75,687624,882,1200,583,leu_ab
leu,75,687643,901,1200,539,leu_ab
leu,75,687662,920,1180,600,leu_ab
leu,75,687681,939,1189,600,leu_ab
leu,75,687699,957,1200,585,leu_ab
leu,75,687718,976,1186,600,leu_ab
leu,75,687737,995,1047,600,leu_ab
leu,75,687756,1014,1197,600,leu_ab
leu,75,687774,1032,1200,593,leu_ab
leu,75,687793,1051,1200,576,leu_ab
leu,75,687812,1070,1200,587,leu_ab
leu,75,687831,1089,1200,593,leu_ab
leu,75,687849,1107,1199,600,leu_ab
leu,75,687868,1126,1200,567,leu_ab
leu,75,687887,1145,1200,580,leu_ab
leu,75,687906,1164,1200,555,leu_ab
leu,75,687924,1182,1157,600,leu_ab
leu,75,687943,1201,1200,595,leu_ab
leu,75,687962,1220,1200,571,leu_ab
leu,75,687981,1239,1200,581,leu_ab
leu,75,687999,1257,1200,579,leu_ab
leu,75,688018,1276,1200,581,leu_ab
leu,75,688037,1295,1200,564,leu_ab
leu,75,688056,1314,1200,584,leu_ab
leu,75,688074,1332,1200,540,leu_ab
leu,75,688093,1351,1197,600,leu_ab
leu,75,688112,1370,1162,600,leu_ab
leu,75,688131,1389,1200,551,leu_ab
leu,75,688150,1408,1200,559,leu_ab
leu,75,688168,1426,1200,564,leu_ab
leu,75,688187,1445,1200,548,leu_ab
leu,75,688206,1464,1200,559,leu_ab
leu,75,688225,1483,1159,600,leu_ab
leu,75,688243,1501,1200,568,leu_ab
leu,75,688262,1520,1200,556,leu_ab
leu,75,688281,1539,1200,549,leu_ab
leu,75,688300,1558,1200,596,leu_ab
leu,75,688318,1576,1200,591,leu_ab
leu,75,688337,1595,1200,591,leu_ab
leu,75,688356,1614,1133,600,leu_ab
leu,75,688375,1633,1138,600,leu_ab
leu,75,688393,1651,1180,600,leu_ab
leu,75,688412,1670,1169,600,leu_ab
leu,75,688431,1689,1177,600,leu_ab
leu,75,688450,1708,1180,600,leu_ab
leu,75,688468,1726,1116,600,leu_ab
leu,75,688487,1745,1186,600,leu_ab
leu,75,688506,1764,1200,592,leu_ab
leu,75,688525,1783,1124,600,leu_ab
leu,75,688543,1801,1166,600,leu_ab
leu,75,688562,1820,1158,600,leu_ab
leu,75,688581,1839,1200,565,leu_ab
leu,75,688600,1858,1200,584,leu_ab
leu,75,688619,1877,1200,591,leu_ab
leu,75,688637,1895,1200,569,leu_ab
leu,75,688656,1914,1185,600,leu_ab
leu,75,688675,1933,1200,556,leu_ab
leu,75,688694,1952,1200,585,leu_ab
leu,75,688712,1970,1188,600,leu_ab
leu,75,688731,1989,1191,600,leu_ab
leu,75,688750,2008,1200,582,leu_ab
leu,75,688769,2027,1200,599,leu_ab
leu,75,688787,2045,1200,559,leu_ab
leu,75,688806,2064,1197,600,leu_ab
leu,75,688825,2083,1129,600,leu_ab
leu,75,688844,2102,1172,600,leu_ab
leu,75,688862,2120,1199,590,leu_ab
leu,75,688881,2139,1198,600,leu_ab
leu,75,688900,2158,1195,600,leu_ab
leu,75,688919,2177,1200,573,leu_ab
leu,75,688937,2195,1152,600,leu_ab
leu,75,688956,2214,1200,597,leu_ab
leu,75,688975,2233,1200,573,leu_ab
leu,75,688994,2252,1200,577,leu_ab
leu,75,689012,2270,1200,590,leu_ab
leu,75,689031,2289,1179,600,leu_ab
leu,75,689050,2308,1200,586,leu_ab
leu,75,689069,2327,1200,592,leu_ab
leu,75,689088,2346,1200,576,leu_ab
leu,75,689106,2364,1200,592,leu_ab
leu,75,689125,2383,1200,565,leu_ab
leu,75,689144,2402,1200,588,leu_ab
leu,75,689163,2421,1200,572,leu_ab
leu,75,689181,2439,1200,589,leu_ab
leu,75,689200,2458,1142,600,leu_ab
leu,75,689219,2477,1200,581,leu_ab
leu,75,689238,2496,1178,600,leu_ab
leu,75,689256,2514,1197,600,leu_ab
leu,75,689275,2533,1181,600,leu_ab
leu,75,689294,2552,1200,547,leu_ab
leu,75,689313,2571,1177,600,leu_ab
leu,75,689331,2589,1200,591,leu_ab
leu,75,689350,2608,1200,571,leu_ab
leu,75,689369,2627,1200,568,leu_ab
leu,75,689388,2646,1164,600,leu_ab
leu,75,689406,2664,1200,585,leu_ab
leu,75,689425,2683,1200,562,leu_ab
leu,75,689444,2702,1200,597,leu_ab
leu,75,689463,2721,1200,598,leu_ab
leu,75,689481,2739,1200,548,leu_ab
leu,75,689500,2758,1200,569,leu_ab
leu,75,689519,2777,1158,600,leu_ab
leu,75,689538,2796,1166,600,leu_ab
leu,75,689557,2815,1200,564,leu_ab
leu,75,689575,2833,1190,600,leu_ab
leu,75,689594,2852,1200,584,leu_ab
leu,75,689613,2871,1170,600,leu_ab
leu,75,689632,2890,1200,578,leu_ab
leu,75,689650,2908,1200,552,leu_ab
leu,75,689669,2927,1161,600,leu_ab
leu,75,689688,2946,1200,519,leu_ab
leu,75,689707,2965,1200,589,leu_ab
leu,75,689725,2983,1200,566,leu_ab
leu,75,689744,3002,1200,575,leu_ab
leu,75,689763,3021,1112,600,leu_ab
leu,75,689782,3040,1200,596,leu_ab
leu,75,689800,3058,1171,600,leu_ab
leu,75,689819,3077,1200,559,leu_ab
leu,75,689838,3096,1181,600,leu_ab
leu,75,689857,3115,1200,564,leu_ab
leu,75,689875,3133,1200,589,leu_ab
leu,75,689894,3152,1200,587,leu_ab
leu,75,689913,3171,1200,600,leu_ab
leu,75,689932,3190,1195,600,leu_ab
leu,75,689950,3208,1200,567,leu_ab
leu,75,689969,3227,1200,526,leu_ab
leu,75,689988,3246,1131,600,leu_ab
leu,75,690007,3265,1200,546,leu_ab
leu,75,690026,3284,1200,574,leu_ab
leu,75,690044,3302,1078,600,leu_ab
leu,75,690063,3321,1200,538,leu_ab
leu,75,690082,3340,1200,578,leu_ab
leu,75,690101,3359,1193,600,leu_ab
leu,75,690119,3377,1200,569,leu_ab
leu,75,690138,3396,1200,576,leu_ab
leu,75,690158,3416,1200,550,leu_ab
leu,75,690177,3435,1200,583,leu_ab
leu,75,690195,3453,1200,590,leu_ab
leu,75,690214,3472,1200,589,leu_ab
leu,75,690233,3491,1200,589,leu_ab
leu,75,690252,3510,1188,600,leu_ab
leu,75,690271,3529,1199,573,leu_ab
leu,75,690290,3548,1182,600,leu_ab
leu,75,690309,3567,1150,600,leu_ab
leu,75,690328,3586,1200,593,leu_ab
leu,75,690346,3604,1105,600,leu_ab
leu,75,690365,3623,1200,582,leu_ab
leu,75,690384,3642,1200,586,leu_ab
leu,75,690403,3661,1200,799,leu_ab
leu,75,690421,3679,1200,799,leu_ab
leu,75,690440,3698,1200,799,leu_ab
leu,75,690459,3717,1200,799,leu_ab
leu,75,690478,3736,1200,799,leu_ab
kuenker,428,735740,1001,1889,1037,kuenker_wallclock
kuenker,428,735745,1006,2000,675,kuenker_wallclock
kuenker,428,735751,1012,2000,1076,kuenker_wallclock
kuenker,428,735757,1018,2000,1058,kuenker_wallclock
kuenker,428,735763,1024,1389,791,kuenker_wallclock
kuenker,428,735769,1030,2000,547,kuenker_wallclock
kuenker,428,735774,1035,2000,1064,kuenker_wallclock
kuenker,428,735780,1041,2000,1062,kuenker_wallclock
kuenker,428,735786,1047,2000,1081,kuenker_wallclock
kuenker,428,735792,1053,1914,1043,kuenker_wallclock
kuenker,428,735798,1059,2000,1040,kuenker_wallclock
kuenker,428,735803,1064,1125,651,kuenker_wallclock
kuenker,428,735809,1070,2000,1052,kuenker_wallclock
kuenker,428,735815,1077,2000,1065,kuenker_wallclock
kuenker,428,735821,1083,2000,1052,kuenker_wallclock
kuenker,428,735827,1089,2000,1077,kuenker_wallclock
kuenker,428,735832,1094,2000,1052,kuenker_wallclock
kuenker,428,735838,1100,2000,1091,kuenker_wallclock
kuenker,428,735844,1106,2000,1058,kuenker_wallclock
kuenker,428,735850,1112,1193,684,kuenker_wallclock
kuenker,428,735856,1118,1814,993,kuenker_wallclock
kuenker,428,735861,1123,2000,1073,kuenker_wallclock
kuenker,428,735867,1129,2000,1073,kuenker_wallclock
kuenker,428,735873,1135,2000,1077,kuenker_wallclock
kuenker,428,735879,1141,2000,1093,kuenker_wallclock
kuenker,428,735885,1147,2000,1051,kuenker_wallclock
kuenker,428,735890,1152,2000,1064,kuenker_wallclock
kuenker,428,735896,1158,2000,1050,kuenker_wallclock
kuenker,428,735902,1164,2000,1053,kuenker_wallclock
kuenker,428,735908,1170,2000,1055,kuenker_wallclock
kuenker,428,735914,1176,2000,1061,kuenker_wallclock
kuenker,428,735919,1181,1636,882,kuenker_wallclock
kuenker,428,735925,1187,2000,1042,kuenker_wallclock
kuenker,428,735931,1195,2000,787,kuenker_wallclock
kuenker,428,735937,1201,1939,1025,kuenker_wallclock
kuenker,428,735943,1207,2000,1052,kuenker_wallclock
