house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac
leu,75,687662,920,1180,600,1,0.9135,0.98886,2,0,2,"599,23,565,561;16,15,565,567",2,0,0.0,14,6e-05,2,0,2,"599,28,565,556;16,15,565,567",2,0,0.0,14,6e-05
leu,75,687681,939,1189,600,1,0.96317,0.87307,2,1,1,"0,0,595,597;581,0,608,600",2,0,0.0,0,0.0,2,0,2,"5,10,586,584;593,9,586,586",2,1,0.0,16,6e-05
leu,75,687699,957,1200,585,1,0.92983,0.88912,2,1,1,"0,0,574,585;586,0,614,585",2,0,0.0,0,0.0,2,0,2,"600,14,592,564;8,10,583,567",2,0,0.0,158,0.00061
leu,75,687718,976,1186,600,1,0.95918,0.9991,2,0,2,"595,8,583,585;19,22,556,562",2,0,0.0,0,0.0,2,0,2,"595,15,583,578;19,22,556,562",2,0,0.0,0,0.0
leu,75,687737,995,1047,600,1,0.9502,0.91677,2,0,2,"14,17,484,569;512,45,517,517",2,0,0.0,7872,0.03748,2,0,2,"2,41,520,519;507,43,519,518",2,1526,0.00724,1522,0.00719
leu,75,687756,1014,1197,600,1,0.94299,0.99165,2,0,2,"608,19,572,564;19,28,569,551",2,0,0.0,0,0.0,2,0,2,"608,22,572,561;19,28,569,551",2,0,0.0,0,0.0
leu,75,687774,1032,1200,593,0,0.95705,0.99877,2,0,2,"12,14,579,566;604,17,586,566",2,0,0.0,0,0.0,2,0,2,"12,14,579,566;604,17,586,566",2,0,0.0,0,0.0
leu,75,687793,1051,1200,576,1,0.91421,0.82642,2,1,1,"0,17,549,559;618,0,582,576",2,0,0.0,0,0.0,2,0,2,"608,8,584,557;9,14,588,550",2,0,0.0,0,0.0
leu,75,687812,1070,1200,587,1,0.96766,0.92346,2,1,1,"0,0,606,587;594,0,606,587",2,0,0.0,0,0.0,2,0,2,"607,9,586,571;7,18,593,562",2,0,0.0,103,0.0004
leu,75,687831,1089,1200,593,1,0.91356,0.94451,2,1,1,"0,0,622,593;586,0,614,593",2,0,0.0,0,0.0,2,0,2,"602,14,590,568;8,11,585,574",2,0,0.0,0,0.0
