id,side,contour_idx,area_frac_frame,circularity,area_ratio,enc_r,roi_w,roi_h,roi_px,touches_border,geo_conf,geo_wall_s,geo_cpu_s,hough_ran,hough_found,hough_conf,hough_wall_s,hough_cpu_s,recover_wall_s,recover_cpu_s,final_conf,accepted,branch,iou_vs_seed,radius_ratio,area_ratio_final_vs_seed
755492,obv,34,0.00069,0.2052,0.2152,47.0,105,69,7245,False,0.3285,0.014,0.035,True,False,0.0,0.001,0.003,0.016,0.038,0.3285,True,geo,0.3719,0.7047,2.2184
755492,obv,121,0.00062,0.0679,0.205,45.5,98,76,7448,False,0.3481,0.018,0.038,True,False,0.0,0.001,0.004,0.019,0.042,0.3481,True,geo,0.3479,0.5998,1.6829
755492,obv,139,0.00016,0.1361,0.135,28.9,68,40,2720,False,0.2717,0.02,0.042,True,False,0.0,0.001,0.003,0.021,0.045,0.2717,True,geo,0.1989,0.721,3.6473
755500,obv,8,0.00019,0.2,0.2044,25.3,54,43,2322,False,0.3224,0.017,0.043,True,False,0.0,0.001,0.003,0.018,0.046,0.3224,True,geo,0.3165,0.6783,2.111
755500,obv,9,0.00103,0.2075,0.1785,62.9,129,99,12771,False,0.3232,0.026,0.044,True,False,0.0,0.003,0.007,0.03,0.051,0.3232,True,geo,0.2713,0.6125,2.0354
755500,obv,24,0.00074,0.2288,0.214,48.8,72,103,7416,False,0.3427,0.021,0.041,True,False,0.0,0.001,0.003,0.022,0.045,0.3427,True,geo,0.3941,0.6384,1.8317
755500,obv,69,0.00014,0.3242,0.3666,16.3,31,38,1178,False,0.3321,0.015,0.039,True,False,0.0,0.001,0.003,0.016,0.041,0.3321,True,geo,0.4877,0.7664,1.4697
755500,obv,148,0.00055,0.0341,0.0334,106.4,230,185,42550,False,0.312,0.016,0.04,True,True,0.2125,0.003,0.01,0.02,0.05,0.312,False,geo,,,
755500,obv,219,0.00083,0.1,0.156,60.4,132,100,13200,False,0.4072,0.017,0.043,True,False,0.0,0.001,0.004,0.018,0.047,0.4072,True,geo,0.3097,0.599,2.228
755500,obv,245,0.00033,0.1392,0.1121,44.7,97,61,5917,False,0.2568,0.019,0.044,True,False,0.0,0.001,0.004,0.02,0.047,0.2568,False,geo,,,
755508,obv,3,0.00021,0.2835,0.1981,27.0,55,44,2420,False,0.2685,0.056,0.057,True,False,0.0,0.001,0.003,0.057,0.06,0.2685,True,geo,0.2676,0.7595,2.7352
755508,obv,18,0.00056,0.1781,0.158,49.2,70,104,7280,False,0.334,0.036,0.055,True,False,0.0,0.003,0.005,0.039,0.06,0.334,True,geo,0.3301,0.6105,2.265
755508,obv,55,0.00023,0.1353,0.1521,32.0,67,55,3685,False,0.4548,0.028,0.052,True,False,0.0,0.002,0.007,0.031,0.059,0.4548,True,geo,0.2793,0.6727,2.8137
755508,obv,62,0.3267,0.273,0.8252,521.7,1233,1140,1405620,False,0.6395,0.023,0.051,True,True,0.2293,34.792,106.25,34.816,106.301,0.6395,True,geo,0.9303,0.914,1.0098
755517,rev,2,0.00033,0.1899,0.2679,29.0,56,56,3136,False,0.3367,0.016,0.047,True,False,0.0,0.001,0.004,0.018,0.051,0.3367,True,geo,0.4358,0.7208,1.8319
755517,rev,3,0.00066,0.1045,0.0528,92.9,218,85,18530,False,0.3766,0.017,0.047,True,False,0.0,0.002,0.006,0.019,0.053,0.3766,False,geo,,,
755517,rev,22,0.00054,0.0901,0.0484,87.7,101,197,19897,False,0.3748,0.018,0.051,True,False,0.0,0.002,0.007,0.02,0.058,0.3748,False,geo,,,
755517,rev,53,0.00299,0.1733,0.2548,89.8,200,140,28000,False,0.5475,0.017,0.054,True,True,0.1818,0.02,0.066,0.037,0.12,0.5475,True,geo,0.4419,0.6576,1.6655
755517,rev,93,0.00029,0.3189,0.3374,24.2,54,47,2538,False,0.3837,0.019,0.051,True,False,0.0,0.001,0.003,0.02,0.055,0.3837,True,geo,0.6302,0.7045,1.3743
755517,rev,109,0.31945,0.1431,0.8348,512.9,1207,1207,1456849,False,0.6154,0.02,0.053,True,True,0.1834,34.762,107.948,34.782,108.001,0.6154,True,geo,0.8738,0.9094,0.9882
755517,rev,113,0.0002,0.1973,0.1094,35.4,80,44,3520,False,0.2622,0.019,0.042,True,False,0.0,0.001,0.002,0.019,0.045,0.2622,True,geo,0.1592,0.7076,4.3561
755529,obv,11,0.00247,0.2619,0.2771,78.3,180,121,21780,False,0.3722,0.014,0.041,True,False,0.0,0.001,0.004,0.016,0.045,0.3722,True,geo,0.4598,0.6445,1.4635
755529,obv,12,0.00116,0.1465,0.1646,69.5,157,103,16171,False,0.3564,0.015,0.04,True,False,0.0,0.002,0.006,0.017,0.047,0.3564,True,geo,0.3314,0.6229,2.2925
755529,obv,28,0.00204,0.2838,0.3827,60.5,110,139,15290,False,0.3871,0.015,0.04,True,False,0.0,0.002,0.005,0.017,0.045,0.3871,True,geo,0.5339,0.7239,1.3343
755537,obv,15,0.00101,0.2046,0.2317,54.8,121,94,11374,False,0.3551,0.015,0.042,True,False,0.0,0.001,0.004,0.016,0.046,0.3551,True,geo,0.4096,0.6783,1.9262
755537,obv,19,0.00036,0.146,0.0752,57.6,129,64,8256,False,0.3731,0.015,0.042,True,False,0.0,0.001,0.004,0.016,0.046,0.3731,False,geo,,,
755537,obv,20,0.00234,0.32,0.2501,80.3,172,116,19952,False,0.3628,0.016,0.046,True,False,0.0,0.001,0.004,0.017,0.05,0.3628,True,geo,0.4847,0.6148,1.4769
755537,obv,44,0.00042,0.1427,0.2111,37.1,63,84,5292,False,0.5072,0.015,0.043,True,False,0.0,0.001,0.004,0.016,0.048,0.5072,True,geo,0.372,0.6733,2.0472
755537,obv,60,0.00311,0.2185,0.2706,88.9,153,189,28917,False,0.3941,0.016,0.044,True,False,0.0,0.001,0.004,0.017,0.048,0.3941,True,geo,0.3866,0.7012,1.7803
755537,obv,109,0.00028,0.2103,0.3166,24.6,56,40,2240,False,0.3734,0.014,0.038,True,False,0.0,0.001,0.003,0.014,0.041,0.3734,True,geo,0.5155,0.6994,1.4428
755537,obv,121,0.00019,0.2301,0.1572,29.0,69,33,2277,False,0.266,0.016,0.042,True,False,0.0,0.001,0.004,0.018,0.046,0.266,True,geo,0.2964,0.6437,2.4682
755537,obv,159,0.29425,0.3254,0.7777,510.0,1216,1118,1359488,False,0.6115,0.015,0.04,True,True,0.1508,23.077,71.835,23.092,71.875,0.6115,True,geo,0.923,0.8873,1.01
755537,obv,168,0.0011,0.0388,0.0206,191.3,436,200,87200,False,0.3306,0.019,0.054,True,True,0.1886,0.009,0.035,0.028,0.088,0.3306,False,geo,,,
755537,obv,169,0.00094,0.0222,0.0108,244.5,504,337,169848,False,0.2571,0.019,0.051,True,True,0.1813,0.118,0.424,0.137,0.475,0.2571,False,geo,,,
755545,obv,1,0.0002,0.186,0.1114,35.1,85,30,2550,False,0.249,0.015,0.043,True,False,0.0,0.001,0.003,0.016,0.046,0.249,True,geo,0.1632,0.664,3.75
755545,obv,4,0.00015,0.5599,0.4285,15.3,37,29,1073,False,0.3725,0.02,0.045,True,False,0.0,0.001,0.004,0.022,0.049,0.3725,True,geo,0.625,0.7624,1.2206
755545,obv,8,0.00145,0.219,0.1874,72.9,153,113,17289,False,0.3478,0.019,0.046,True,False,0.0,0.001,0.005,0.02,0.051,0.3478,True,geo,0.3431,0.6318,2.075
755545,obv,10,0.00102,0.184,0.0916,87.5,193,106,20458,False,0.3177,0.018,0.048,True,False,0.0,0.001,0.005,0.019,0.053,0.3177,False,geo,,,
755545,obv,21,0.00168,0.1565,0.1964,76.6,113,176,19888,False,0.341,0.016,0.046,True,False,0.0,0.001,0.005,0.018,0.05,0.341,True,geo,0.3082,0.6623,2.1828
755545,obv,22,0.00262,0.1822,0.23,88.5,143,194,27742,False,0.3651,0.016,0.043,True,False,0.0,0.001,0.004,0.018,0.047,0.3651,True,geo,0.3661,0.7003,2.0887
755545,obv,66,0.00067,0.1083,0.2915,39.6,86,74,6364,False,0.3561,0.022,0.042,True,False,0.0,0.002,0.004,0.024,0.046,0.3561,True,geo,0.412,0.6807,1.5148
755545,obv,87,0.27078,0.4313,0.7925,484.7,1145,1038,1188510,False,0.5975,0.017,0.037,True,True,0.125,17.167,52.301,17.183,52.338,0.5975,True,geo,0.9248,0.8884,0.9932
755545,obv,88,0.00045,0.095,0.0437,83.8,200,51,10200,False,0.3243,0.014,0.036,True,False,0.0,0.001,0.003,0.015,0.038,0.3243,False,geo,,,
755560,rev,37,0.00041,0.1545,0.1621,41.5,50,100,5000,False,0.4391,0.024,0.041,True,False,0.0,0.001,0.003,0.025,0.044,0.4391,True,geo,0.175,0.6519,2.4994
755560,rev,101,0.00014,0.3641,0.2622,19.3,45,25,1125,False,0.3216,0.024,0.047,True,False,0.0,0.001,0.003,0.025,0.049,0.3216,True,geo,0.4448,0.7091,1.7512
755560,rev,105,0.00017,0.1521,0.1835,25.5,42,60,2520,False,0.3524,0.018,0.033,True,False,0.0,0.001,0.002,0.019,0.036,0.3524,True,geo,0.2613,0.7122,2.5781
755572,obv,13,0.00028,0.2113,0.3065,25.1,57,47,2679,False,0.3561,0.017,0.035,True,False,0.0,0.001,0.003,0.018,0.037,0.3561,True,geo,0.4517,0.7048,1.5132
755572,obv,16,0.00149,0.2909,0.2568,63.1,128,100,12800,False,0.3457,0.013,0.031,True,False,0.0,0.001,0.003,0.014,0.035,0.3457,True,geo,0.4109,0.6556,1.6247
755572,obv,18,0.00056,0.0471,0.0243,126.4,294,113,33222,False,0.301,0.014,0.035,True,False,0.0,0.007,0.012,0.021,0.047,0.301,False,geo,,,
755572,obv,92,0.0002,0.1942,0.2474,23.4,53,36,1908,False,0.361,0.015,0.036,True,False,0.0,0.001,0.003,0.016,0.038,0.361,True,geo,0.4581,0.6706,1.6808
755572,obv,108,0.00017,0.1513,0.1011,34.1,81,33,2673,False,0.2759,0.016,0.037,True,False,0.0,0.001,0.003,0.017,0.04,0.2759,True,geo,0.2624,0.5758,3.0894
755572,obv,110,0.00024,0.1582,0.1239,36.3,87,36,3132,False,0.2868,0.015,0.035,True,False,0.0,0.001,0.003,0.016,0.038,0.2868,True,geo,0.2086,0.6271,3.0088
755572,obv,130,0.00017,0.2006,0.2013,23.8,56,38,2128,False,0.2933,0.015,0.034,True,False,0.0,0.001,0.003,0.015,0.037,0.2933,True,geo,0.3333,0.6983,2.2661
755572,obv,348,0.40023,0.1769,0.7815,593.4,1254,1300,1630200,False,0.5143,0.017,0.038,True,False,0.0,14.72,46.655,14.737,46.693,0.5143,True,geo,0.9017,0.8971,1.0274
755572,obv,353,0.00015,0.2541,0.1634,24.9,60,29,1740,False,0.2732,0.039,0.038,True,False,0.0,0.003,0.004,0.042,0.042,0.2732,True,geo,0.2857,0.6518,2.4239
755572,obv,454,0.00018,0.2536,0.1717,26.5,64,27,1728,False,0.3265,0.026,0.046,True,False,0.0,0.001,0.003,0.027,0.049,0.3265,True,geo,0.3122,0.6218,2.0752
