house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,0.0042.kernel,0.0042.status,0.0042.ndets,0.0042.bboxes,0.0042.hough,0.0042.tcr_triggered,0.0042.tcr_status,0.0042.blobs_post_close,0.0042.gap_post_close,0.0042.seconds,auto.bbox_identical,auto.ndets_delta,0.0042.bbox_identical,0.0042.ndets_delta,control.weld,auto.weld,0.0042.weld
leu,75,687624,882,1200,583,2,2,10.0,10.0,0.783|0.387,7,success,2,"8,0,622,583;575,0,625,583",1,1,split,1,,52.746,3,success,2,"6,8,584,569;599,7,595,570",0,0,,2,10.0,0.0411,5,success,2,"6,8,584,569;599,7,595,570",0,0,,2,10.0,0.0351,0,0,0,0,1,0,0
leu,75,687643,901,1200,539,2,2,28.0,29.0,0.615|0.373,7,success,2,"610,26,571,492;19,26,565,495",0,0,,2,29.0,0.0346,3,success,2,"610,26,571,492;41,21,522,522",0,0,,2,29.0,8.6998,5,success,2,"610,26,571,492;41,18,523,524",0,0,,2,29.0,7.6822,0,0,0,0,0,0,0
leu,75,687662,920,1180,600,3,3,19.0,19.1,0.27|0.109,7,success,2,"599,23,565,561;16,15,565,567",0,0,,2,19.1,0.0318,3,success,2,"16,15,565,567;599,28,565,556",0,0,,3,19.1,0.0334,5,success,2,"599,28,565,556;16,15,565,567",0,0,,2,19.1,0.0417,0,0,0,0,0,0,0
leu,75,687681,939,1189,600,2,2,9.0,9.0,0.607|0.634,7,success,2,"0,0,595,597;581,0,608,600",1,1,split,1,,139.5765,3,success,2,"5,10,583,584;596,19,583,576",0,0,,2,9.0,0.0398,5,success,2,"5,10,586,584;593,9,586,586",0,0,,2,3.0,0.0383,0,0,0,0,1,0,0
leu,75,687699,957,1200,585,2,2,12.0,12.0,0.594|0.692,7,success,2,"0,0,574,585;586,0,614,585",1,1,split,1,,44.4568,3,success,2,"600,14,592,564;8,10,583,567",0,0,,2,12.0,0.0375,5,success,2,"600,14,592,564;8,10,583,567",0,0,,2,12.0,0.0357,0,0,0,0,1,0,0
leu,75,687718,976,1186,600,3,3,22.02,22.8,0.638|0.364,7,success,2,"595,8,583,585;19,22,556,562",0,0,,2,21.0,0.041,3,success,2,"595,15,583,578;19,22,556,562",0,0,,2,21.0,0.0412,5,success,2,"595,15,583,578;19,22,556,562",0,0,,2,21.0,0.0381,0,0,0,0,0,0,0
leu,75,687737,995,1047,600,4,5,17.0,18.25,0.347|0.161,7,success,2,"14,17,484,569;512,45,517,517",0,0,,2,18.0,9.1505,3,success,2,"509,43,518,518;10,46,511,511",0,0,,3,18.25,18.1068,5,success,2,"2,41,520,519;507,43,519,518",0,0,,2,18.0,16.4258,0,0,0,0,0,0,0
leu,75,687756,1014,1197,600,2,3,22.02,21.0,0.173|0.19,7,success,2,"608,19,572,564;19,28,569,551",0,0,,2,21.0,0.0425,3,success,2,"608,37,572,546;40,41,526,527",0,0,,2,21.0,9.9562,5,success,2,"608,22,572,561;19,28,569,551",0,0,,2,21.0,0.0378,0,0,0,0,0,0,0
leu,75,687774,1032,1200,593,2,2,15.0,15.0,0.726|0.473,7,success,2,"12,14,579,566;604,17,586,566",0,0,,2,15.0,0.0351,3,success,2,"12,14,579,566;604,17,586,566",0,0,,2,15.0,0.0308,5,success,2,"12,14,579,566;604,17,586,566",0,0,,2,15.0,0.031,1,0,1,0,0,0,0
leu,75,687793,1051,1200,576,2,2,12.0,12.04,0.426|0.257,7,success,2,"0,17,549,559;618,0,582,576",1,1,split,1,,48.8921,3,success,2,"608,8,584,555;9,24,588,540",0,0,,2,12.04,0.0438,5,success,2,"608,8,584,557;9,14,588,550",0,0,,2,13.0,0.0472,0,0,0,0,1,0,0
leu,75,687812,1070,1200,587,2,2,11.4,10.77,0.633|0.399,7,success,2,"0,0,606,587;594,0,606,587",1,1,split,1,,55.8179,3,success,2,"607,9,586,571;7,18,593,562",0,0,,2,10.77,0.0404,5,success,2,"607,9,586,571;7,18,593,562",0,0,,2,10.77,0.0357,0,0,0,0,1,0,0
leu,75,687831,1089,1200,593,2,2,11.0,11.0,0.814|0.493,7,success,2,"0,0,622,593;586,0,614,593",1,1,split,1,,46.1032,3,success,2,"602,14,590,568;8,11,585,574",0,0,,2,11.0,0.0331,5,success,2,"602,14,590,568;8,11,585,574",0,0,,2,11.0,0.0279,0,0,0,0,1,0,0
leu,75,687849,1107,1199,600,2,3,7.07,8.0,0.696|0.55,7,success,2,"0,0,617,600;573,0,626,600",1,1,split,1,,46.6074,3,success,2,"5,7,593,588;605,11,589,581",0,0,,2,8.0,0.0417,5,success,2,"0,0,617,600;573,0,626,600",1,1,split,1,,45.7708,0,0,1,0,0,0,0
leu,75,687868,1126,1200,567,3,2,14.56,14.0,0.543|0.356,7,success,2,"611,18,581,537;9,11,589,548",0,0,,2,14.0,0.0358,3,success,2,"611,22,581,533;9,11,589,548",0,0,,2,14.0,0.0482,5,success,2,"611,19,581,536;9,11,589,548",0,0,,2,14.0,0.0355,0,0,0,0,0,0,0
leu,75,687887,1145,1200,580,2,2,10.0,10.0,0.786|0.78,7,success,2,"7,0,624,580;584,0,614,580",1,1,split,1,,123.5436,3,success,2,"7,9,587,564;603,14,590,558",0,0,,2,10.0,0.0393,5,success,2,"7,9,587,564;603,14,590,558",0,0,,2,10.0,0.0395,0,0,0,0,1,0,0
leu,75,687906,1164,1200,555,2,3,13.0,13.0,0.435|0.471,7,success,2,"0,0,603,555;594,0,606,555",1,1,split,1,,40.9334,3,success,2,"609,20,581,525;11,13,586,530",0,0,,2,13.0,0.0516,5,success,2,"609,12,581,533;11,13,586,530",0,0,,2,13.0,0.0482,0,0,0,0,0,0,0
leu,75,687924,1182,1157,600,2,2,10.0,11.0,0.352|0.353,7,success,2,"0,0,594,600;586,0,571,583",1,1,split,1,,58.639,3,success,2,"583,11,566,582;7,17,566,569",0,0,,2,11.0,0.0508,5,success,2,"583,10,566,583;7,17,566,569",0,0,,2,11.0,0.034,0,0,0,0,1,0,0
leu,75,687943,1201,1200,595,2,2,13.0,13.0,0.672|0.232,7,success,2,"602,13,588,570;11,12,587,572",0,0,,2,5.1,0.0372,3,success,2,"606,14,584,569;11,12,583,572",0,0,,2,13.0,0.0353,5,success,2,"606,13,584,570;11,12,583,572",0,0,,2,13.0,0.0353,0,0,0,0,0,0,0
