id,side,h,w,avg_bg,polarity,otsu_t,close_k,n_valid,n_need_recovery,n_will_hough,max_hough_roi_px,scan_wall_s,scan_cpu_s
755498,obv,1440,1500,32.26,BIN,113.0,7,40,40,40,1952079,2.472,3.846
755498,rev,1440,1500,30.82,BIN,119.0,7,10,10,10,1708245,0.904,1.241
755499,obv,1440,1500,31.71,BIN,112.0,7,41,41,41,1989000,2.607,4.042
755499,rev,1440,1500,29.98,BIN,121.0,7,4,4,4,1683464,0.808,1.001
755500,obv,1440,1500,30.24,BIN,124.0,7,8,7,7,42550,0.334,0.617
755500,rev,1440,1500,27.68,BIN,123.0,7,5,5,5,1407205,0.251,0.483
755501,obv,1440,1500,30.21,BIN,126.0,7,8,8,8,1477434,0.547,0.885
755501,rev,1440,1500,29.68,BIN,131.0,7,3,2,2,20475,0.267,0.385
755502,obv,1440,1500,30.92,BIN,116.0,7,13,13,13,1370016,1.79,2.186
755502,rev,1440,1500,29.97,BIN,117.0,7,13,13,13,1731456,1.267,1.696
755503,obv,1440,1500,31.25,BIN,118.0,7,9,9,9,1875920,0.82,1.177
755503,rev,1440,1500,29.7,BIN,120.0,7,10,10,10,1625000,0.636,1.05
755504,obv,1440,1500,32.22,BIN,121.0,7,8,8,8,1731792,0.646,1.02
755504,rev,1440,1500,31.11,BIN,120.0,7,7,7,7,1910166,0.57,0.885
755505,obv,1440,1500,30.87,BIN,124.0,7,15,14,14,165005,0.797,1.376
755505,rev,1440,1500,31.08,BIN,123.0,7,7,7,7,1511250,0.421,0.794
755506,obv,1440,1500,30.96,BIN,111.0,7,42,41,41,1990500,3.081,4.583
755506,rev,1440,1500,30.77,BIN,114.0,7,22,22,22,1972500,1.819,2.736
755507,obv,1440,1500,29.78,BIN,118.0,7,11,11,11,1730034,1.217,1.726
755507,rev,1440,1500,30.95,BIN,133.0,7,4,4,4,1414868,0.518,0.721
755508,obv,1440,1500,29.48,BIN,131.0,7,4,4,4,1405620,0.32,0.545
755508,rev,1440,1500,30.17,BIN,135.0,7,1,0,0,0,0.136,0.204
755509,obv,1440,1500,33.89,BIN,99.0,7,4,4,4,2160000,0.248,0.419
755509,rev,1440,1500,33.42,BIN,116.0,7,19,19,19,1775400,1.565,2.231
755510,obv,1440,1500,33.0,BIN,116.0,7,7,7,7,1995336,1.051,1.308
755510,rev,1440,1500,31.33,BIN,129.0,7,1,0,0,0,0.168,0.217
755511,obv,1440,1500,30.61,BIN,112.0,7,44,44,44,1969268,2.717,4.144
755511,rev,1440,1500,30.62,BIN,113.0,7,43,43,43,1654026,1.813,3.16
755512,obv,1440,1500,31.72,BIN,121.0,7,12,12,12,1688505,0.769,1.224
755512,rev,1440,1500,30.95,BIN,120.0,7,9,9,9,1819072,0.657,0.996
755513,obv,1440,1500,32.72,BIN,126.0,7,8,8,8,1574474,0.509,0.726
