house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,auto.bbox_identical,auto.ndets_delta,control.weld,auto.weld
kuenker,428,736198,1464,2000,1064,6,4,25.0,21.0,0.806|0.565,7,success,3,"1010,71,990,993;0,72,991,982;953,-2,92,91",0,0,,3,21.0,0.162,7,success,3,"1010,71,990,993;0,72,991,982;953,-2,92,91",0,0,,3,21.0,0.1808,1,0,0,0
kuenker,428,736204,1470,2000,1071,4,4,19.0,18.0,0.727|0.662,7,success,3,"0,71,981,991;995,68,1005,1003;944,0,110,90",0,0,,3,18.0,0.1799,7,success,3,"0,71,981,991;995,68,1005,1003;944,0,110,90",0,0,,3,18.0,0.1427,1,0,0,0
kuenker,428,736210,1476,2000,1070,4,4,20.0,20.0,0.82|0.71,7,success,3,"1009,77,991,990;0,76,990,987;946,0,107,87",0,0,,3,20.0,0.1812,7,success,3,"1009,77,991,990;0,76,990,987;946,0,107,87",0,0,,3,20.0,0.2119,1,0,0,0
kuenker,428,736216,1482,1899,1034,4,4,27.0,27.0,0.624|0.511,7,success,3,"970,98,921,929;8,110,936,909;906,-3,87,86",0,0,,3,27.0,0.1361,7,success,3,"970,98,921,929;8,110,936,909;906,-3,87,86",0,0,,3,27.0,0.1692,1,0,0,0
kuenker,428,736221,1487,2000,1067,4,4,20.0,20.4,0.821|0.849,7,success,3,"1007,74,993,993;0,77,988,981;953,-1,93,92",0,0,,3,20.4,0.1915,7,success,3,"1007,74,993,993;0,77,988,981;953,-1,93,92",0,0,,3,20.4,0.1978,1,0,0,0
kuenker,428,736227,1493,2000,1037,4,4,18.03,18.44,0.829|0.764,7,success,3,"1016,64,984,973;0,66,1000,966;946,0,107,88",0,0,,3,18.44,0.1873,7,success,3,"1016,64,984,973;0,66,1000,966;946,0,107,88",0,0,,3,18.44,0.1606,1,0,0,0
kuenker,428,736233,1499,2000,1057,4,4,18.0,18.0,0.714|0.609,7,success,3,"0,57,983,1000;997,61,1003,988;945,0,109,89",0,0,,3,18.0,0.1462,7,success,3,"0,57,983,1000;997,61,1003,988;945,0,109,89",0,0,,3,18.0,0.1253,1,0,0,0
kuenker,428,736239,1505,2000,1048,4,4,17.03,17.0,0.536|0.527,7,success,3,"1009,64,991,984;0,64,993,979;945,0,108,88",0,0,,3,17.0,0.1449,7,success,3,"1009,64,991,984;0,64,993,979;945,0,108,88",0,0,,3,17.0,0.1592,1,0,0,0
kuenker,428,736245,1511,2000,1061,4,5,20.22,21.0,0.33|0.329,7,success,3,"1012,63,988,991;0,61,992,996;944,0,110,90",0,0,,3,21.0,0.1532,7,success,3,"1012,63,988,991;0,61,992,996;944,0,110,90",0,0,,3,21.0,0.1639,1,0,0,0
kuenker,428,736250,1516,2000,1057,7,9,29.0,30.07,0.145|0.135,7,success,3,"0,66,992,982;1009,74,968,960;954,-3,93,91",0,0,,5,18.0,0.5301,7,success,3,"0,66,992,982;1009,74,968,960;954,-3,93,91",0,0,,5,18.0,0.7119,1,0,0,0
