id,side,off_value,off_bg_type,on_value,on_bg_type,ring_truth,off_err,on_err,off_thresh,on_thresh,crosses_110,value_changed
755521,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
755523,obv,32.099,dark,75.0,dark,78.944,-46.845,-3.944,BINARY,BINARY,False,True
755523,rev,31.715,dark,75.0,dark,78.952,-47.237,-3.952,BINARY,BINARY,False,True
755524,obv,33.506,dark,75.0,dark,78.944,-45.438,-3.944,BINARY,BINARY,False,True
755524,rev,32.806,dark,75.0,dark,78.952,-46.145,-3.952,BINARY,BINARY,False,True
755525,obv,30.51,dark,75.0,dark,78.944,-48.434,-3.944,BINARY,BINARY,False,True
755525,rev,30.779,dark,75.0,dark,78.952,-48.173,-3.952,BINARY,BINARY,False,True
755526,obv,31.045,dark,75.0,dark,78.944,-47.899,-3.944,BINARY,BINARY,False,True
755526,rev,31.946,dark,75.0,dark,78.952,-47.006,-3.952,BINARY,BINARY,False,True
755527,obv,32.228,dark,75.0,dark,78.944,-46.716,-3.944,BINARY,BINARY,False,True
755527,rev,32.005,dark,75.0,dark,78.952,-46.947,-3.952,BINARY,BINARY,False,True
755528,obv,31.796,dark,75.0,dark,78.944,-47.147,-3.944,BINARY,BINARY,False,True
755528,rev,32.916,dark,75.0,dark,78.952,-46.036,-3.952,BINARY,BINARY,False,True
